id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,availability 365,house_rules,license
33301,19393478,Cozy sanctuary/Big master bedroom/NYC/The Heights,82416025869,verified,Jess,Manhattan,Washington Heights,40.84911,-73.93097,United States,US,FALSE,flexible,Private room,2021,$852 ,$170 ,2,5,04-08-2019,0.44,3,1,216,,
82372,46495392,Not active,31577554384,verified,Jake,Manhattan,Chelsea,40.73686,-73.99349,United States,US,FALSE,flexible,Entire home/apt,2006,"$1,082 ",$216 ,5,0,,,2,1,0,,
84522,47682837,Walking distance  to LaGuardia airport,30976554304,unconfirmed,Maya,Queens,East Elmhurst,40.77107,-73.87559,United States,US,FALSE,strict,Private room,2006,$854 ,$171 ,1,412,07-01-2019,10.19,1,5,64,Please be mindful in the kitchen and bathroom after 23:00.,
101388,56997928,Room in the Heart of Williamsburg,62546200393,verified,Steven,Brooklyn,Williamsburg,40.7176,-73.95359,United States,US,TRUE,strict,Private room,2018,$207 ,$41 ,2,7,10/23/2017,0.24,3,1,0,,
53801,30715628,SmartHome║Rooftop║Balcony║4 Beds║2 Bath║2 Bedrooms,91548739600,verified,Brian,Queens,Ridgewood,40.70641,-73.90935,United States,US,TRUE,moderate,Entire home/apt,2019,$224 ,$45 ,2,126,2/15/2022,2.88,2,2,343,,
66994,38002122,"A luxury + healthy home, roof garden & NYC views",45626382817,unconfirmed,Tillie,Brooklyn,Greenpoint,40.73508,-73.95391,United States,US,FALSE,moderate,Private room,2008,$386 ,$77 ,30,7,8/13/2020,0.26,4,1,0,,
81615,46077301,Sunny 1BR - Trendiest location in NYC,70791741583,unconfirmed,Ro-E,Manhattan,Chinatown,40.71346,-73.99158,United States,US,TRUE,flexible,Entire home/apt,2014,"$1,024 ",$205 ,2,1,09-03-2017,0.04,1,1,0,"Respect yourself, respect other, clean up after yourself. No smoking/drinking. Late check in after 9 pm or before 9 am is $50. Lock out is $50 Thank you",
68346,38748832,Penthouse Studio with Queen Bed & Private Rooftop,80953387948,unconfirmed,Kate,Manhattan,Lower East Side,40.71798,-73.98418,United States,US,FALSE,flexible,Entire home/apt,2013,"$1,192 ",$238 ,2,17,5/22/2019,0.76,2,1,171,,
1826,2009836,Big apartment with top view! 1 block from subway.,42189682847,verified,Alvaro,Queens,Sunnyside,40.74263,-73.92476,United States,US,FALSE,strict,Entire home/apt,2012,$113 ,$23 ,2,108,6/23/2019,1.35,3,1,258,I expect my guests To make themselves feel at home and at the same time to respect my property and care for it as if it was there own.  Be mindful of neighbors.  Most of the residents have a full time job and is very quiet here.,
44448,25549966,Private bedroom and bathroom 15 mins from the city,57820281452,verified,John,Queens,Sunnyside,40.73857,-73.92563,United States,US,FALSE,strict,Private room,2008,$734 ,$147 ,1,4,07-02-2019,4,2,2,25,"We prefer to limit the apartment to 4 people. It's our home, and we take good care of it -- so we hope you will, too.  No smoking, no pets, no parties. All dinner ware/cooking supplied should be left in the dishwasher and all trash should be left in the trash can (additional bags are in the drawer above the trash if you need them).",
43998,25301431,Single Bedroom with private roof top,34106693422,verified,Tamiris,Brooklyn,Williamsburg,40.71963,-73.94149,United States,US,FALSE,moderate,Private room,2005,$67 ,$13 ,2,10,5/31/2019,3.85,2,2,62,"This is a smoke-free house. Otherwise, we just ask you to be respectful and considerate of others.",
66537,37749721,BK's Finest Jack&Jill Twins NearTransportation,79867013949,unconfirmed,Joyell,Brooklyn,Bushwick,40.69664,-73.9294,United States,US,FALSE,moderate,Private room,2012,"$1,127 ",$225 ,30,170,11-01-2020,2.93,4,5,0,,
41603,23978673,LARGE BEDROOM IN BRONX DOWN THE BLOCK FROM 2 TRAIN,4664249814,verified,Camille,Bronx,Wakefield,40.88805,-73.86451,United States,US,FALSE,strict,Private room,2012,$476 ,$95 ,1,0,,,3,1,0,,
38712,22381974,"Spacious Chelsea 1BR w/ Gym, Balcony + Doorman by Blueground",37887450007,verified,Blueground,Manhattan,Chelsea,40.73806,-73.99744,United States,US,FALSE,moderate,Entire home/apt,2005,$64 ,$13 ,30,0,,,2,232,261,"Contact us for reservations. Check in is 3pm, check out at 11am, though other arrangements can be made.",
31279,18276728,Spacious home next to JFK airport,16559929829,verified,Paul,Queens,Jamaica,40.66735,-73.78922,United States,US,FALSE,moderate,Entire home/apt,2006,"$1,183 ",$237 ,2,50,07-07-2019,3.87,3,1,181,#NAME?,
30321,17747624,Tony's Room 2 near La Guardia Airport,70183220347,verified,Camilo & Yesenia,Queens,East Elmhurst,40.76525,-73.86715,United States,US,FALSE,flexible,Private room,2014,$955 ,$191 ,1,4,06-01-2019,0.28,5,2,78,"No pets and absolutely no smoking.  We expect guests to leave the place as they saw it when they first arrived and be clean, respectful, and responsible.",
57206,32596210,MODERN ROOM IN CHARMING CLINTON HILL+ SWEET VIEW 3,10235204304,unconfirmed,Suzette And Graham,Brooklyn,Bedford-Stuyvesant,40.69813,-73.96055,United States,US,TRUE,moderate,Private room,2014,$793 ,$159 ,30,13,1/15/2022,0.22,4,19,339,,
4791,3647405,Your Manhattan haven: dressed in red,84912391652,verified,Ivan,Manhattan,Washington Heights,40.83132,-73.94101,United States,US,FALSE,strict,Private room,2016,$206 ,$41 ,5,24,6/27/2019,0.39,3,4,280,"Guests are required to take their shoes off in the house (we have slippers for all), and to be respectful of the home.",
10548,6826996,Spacious & sunny 1 bdrm w views,32110742846,unconfirmed,Natasha,Brooklyn,Columbia St,40.68274,-74.00433,United States,US,FALSE,flexible,Entire home/apt,2018,$703 ,$141 ,2,2,9/28/2015,0.04,2,1,398,Respectful of the apartment,
27391,16129385,Only 25 min to Times Square,83639088030,,Victor,Manhattan,Washington Heights,40.8556,-73.93245,United States,US,FALSE,moderate,Private room,2014,$690 ,$138 ,4,67,07-03-2019,3.61,4,1,2,,
22314,13325358,Cute 1 bedroom basement apartment,27557466672,verified,Maimi,Brooklyn,East Flatbush,40.662,-73.93775,United States,US,FALSE,moderate,Private room,2007,$137 ,$27 ,1,2,4/17/2017,0.07,2,2,0,"Please read the house manual along with the directions... You have plenty of liberty to do as you wish within the space. I will most likely exchange keys in person when arriving. If I'm not around, I'll be confirming the steps to exchange the keys. *As a visitor, if requested by the front desk... you might have to check-in at the lobby counter.",
59205,33700258,"Quiet, Quaint, and",95649813673,verified,Yvonne,Queens,Richmond Hill,40.68434,-73.81952,United States,US,TRUE,moderate,Entire home/apt,2010,$733 ,$147 ,2,6,01-02-2022,1.62,4,2,333,,
55046,31403242,nice apt condo w/ parking,75453795376,unconfirmed,Gerald,Staten Island,Concord,40.60944,-74.0869,United States,US,FALSE,strict,Private room,2010,"$1,030 ",$206 ,5,54,02-08-2022,0.8,4,1,345,,
6646,4671922,"Home Sweet Home!
Spring fling!",65649497438,unconfirmed,Roger,Manhattan,East Harlem,40.79637,-73.93371,United States,US,FALSE,flexible,Private room,2012,"$1,050 ",$210 ,2,151,07-02-2019,2.75,3,1,5,"We expect guests to treat our home as if it were their own. Be neat and clean, considerate, and respectful of both our home and our neighbors. There is NO smoking in the home, NO pets, NO drugs!!!",
9770,6397307,Great BIG Upper West Side Apartment,60669471400,unconfirmed,Andrew,Manhattan,Upper West Side,40.8012,-73.96382,United States,US,FALSE,moderate,Private room,2006,$539 ,$108 ,3,9,9/19/2018,0.19,1,1,63,,
55206,31491610,Private Apartment/ Shared Bathroom 815,55894926016,unconfirmed,Raquel,Manhattan,Midtown,40.74622,-73.98726,United States,US,TRUE,flexible,Private room,2010,$426 ,$85 ,1,1,02-07-2022,1,3,53,71,,
73040,41341328,Stylish 1 BDR in Upper East Side,78030030088,verified,Tny,Manhattan,Upper East Side,40.76942,-73.96705,United States,US,FALSE,strict,Entire home/apt,2014,$433 ,$87 ,30,7,05-03-2019,0.19,3,12,52,,
91492,51532368,"Private Entrance,Room and Bathroom!",51910457432,unconfirmed,Mariano,Manhattan,East Harlem,40.7993,-73.93305,United States,US,TRUE,strict,Private room,2021,"$1,053 ",$211 ,2,37,08-03-2018,1.33,3,2,304,"We ask guests to leave the house as they found it and to respect our home, our belongings, and our privacy. No smoking or drug use in our home at any time.",
7267,5014900,One Bedroom Apartment in Chelsea,83922881300,unconfirmed,Seth,Manhattan,Chelsea,40.74326,-74.00004,United States,US,TRUE,flexible,Entire home/apt,2008,"$1,183 ",$237 ,2,98,6/26/2019,1.88,2,2,200,Not many rules except there is no smoking,
18919,11450300,Mid-town West/Private room/shared bath,40682660949,verified,Pamela,Manhattan,Midtown,40.76485,-73.98121,United States,US,TRUE,flexible,Private room,2004,$151 ,$30 ,2,1,05-08-2017,0.04,5,2,0,,
11220,7198142,Full Floor in Sunny Brooklyn Duplex,62754997773,verified,Miles,Brooklyn,Bedford-Stuyvesant,40.68861,-73.95548,United States,US,FALSE,strict,Private room,2015,$830 ,$166 ,2,10,7/28/2018,0.22,4,1,259,Shoes off Clean After yourself Turn Lights and your room AC off when leaving the apartment Clean the stove with the specific cleaner when used (Ask the host about it),
22840,13615868,Lofty Living: Private Room,69474990607,verified,Jenny,Brooklyn,Williamsburg,40.7199,-73.95828,United States,US,FALSE,flexible,Private room,2014,$122 ,$24 ,1,5,05-11-2019,0.2,1,2,111,Please no smoking in any of the inside premises or on the roof deck; no loud music; no moving or rearranging furniture; and no guests beyond those indicated at booking (without clearing with owner first).,
50676,28989691,*BDRM 1* Cozy full size bedroom w/ workspace,20804068485,verified,Vivian,Brooklyn,East New York,40.65940508,-73.89413892,United States,US,TRUE,flexible,Private room,2010,"$1,155 ",$231 ,1,6,2/28/2022,2.77,2,3,33,,
83451,47091323,Private Room in East Village  *FEMALE Guests only*,50983387397,unconfirmed,Laura,Manhattan,East Village,40.72793,-73.98876,United States,US,TRUE,flexible,Private room,2010,$71 ,$14 ,1,44,6/13/2019,2.01,5,1,19,Please respect the residents by keeping noise down and absolutely no smoking.  There is no bag storage at the building.  Please do not ask the concierges.  Thank you.,
69842,39575073,Location Moreno,39173424422,verified,Petya,Queens,Long Island City,40.75754,-73.93004,United States,US,TRUE,moderate,Private room,2005,$948 ,$190 ,30,13,12/13/2015,0.16,3,18,360,,
29276,17170471,Beautiful 1 Bedroom in Grammercy,64526422064,verified,Andrew,Manhattan,Kips Bay,40.73735,-73.97952,United States,US,FALSE,moderate,Entire home/apt,2009,$590 ,$118 ,2,0,,,5,1,0,Parties and smoking are not allowed under any circumstances and incur significant fees. Pets may be considered with pre-approval and an additional pet fee.,
101500,57059786,Charming Cozy Designer Home- Private House,31653355257,verified,Maggie,Queens,Forest Hills,40.73576,-73.85434,United States,US,FALSE,flexible,Entire home/apt,2016,$414 ,$83 ,2,153,07-01-2019,5.31,3,2,106,,
37881,21923012,Your Home Away From Home,2292916602,unconfirmed,Ashley,Bronx,Fordham,40.8689,-73.88552,United States,US,TRUE,strict,Entire home/apt,2019,"$1,043 ",$209 ,2,30,5/24/2019,4.46,3,1,327,#NAME?,
35723,20731149,Room at walking distance to the Empire State!,32019887150,unconfirmed,Monze,Manhattan,Kips Bay,40.74381,-73.97909,United States,US,FALSE,moderate,Private room,2010,$158 ,$32 ,2,45,6/24/2019,4.87,4,3,277,,
60806,34584490,2A,22170677206,verified,Nina,Manhattan,Midtown,40.75052,-73.9832,United States,US,FALSE,strict,Entire home/apt,2012,$578 ,$116 ,30,8,12/19/2021,0.15,3,13,235,,
60531,34432607,Beautiful Jr 1 Br In SoHo,65224622888,unconfirmed,Raanan,Manhattan,SoHo,40.72544,-74.00297,,US,TRUE,flexible,Entire home/apt,2021,$940 ,$188 ,30,4,12/22/2021,0.06,3,11,211,,
11257,7218577,"Bright, cozy East Village apartment",88350276133,verified,Kacy,Manhattan,East Village,40.72895,-73.98789,United States,US,TRUE,strict,Entire home/apt,2011,$118 ,$24 ,1,1,5/31/2016,0.03,2,1,221,"Please remember that this is a residential building. The building rules, apartment occupancy restrictions and the year-round tenants must be respected.  Parties, pets and smoking are not allowed under any circumstances and incur significant fees.",
64356,36545155,ENJOY PREMIUM TIME SQUARE VIEW/ PRIVATE room/ NYC,65207543045,verified,Millennium Premier,Manhattan,Midtown,40.75579,-73.98322,United States,US,TRUE,strict,Private room,2008,"$1,135 ",$227 ,1,1,8/22/2021,0.15,4,6,145,,
76479,43240688,Bright & chic 1BR in the West Village,98303090994,unconfirmed,Jasmine,Manhattan,West Village,40.73616,-74.00889,United States,US,TRUE,flexible,Entire home/apt,2013,$631 ,$126 ,2,28,5/23/2019,1.32,1,1,66,"Please remember that this is a residential building. The building rules, apartment occupancy restrictions and the year-round tenants must be respected.  Parties and smoking are not allowed under any circumstances and incur significant fees. Pets may be considered with pre-approval and an additional pet fee.",
90040,50730428,Studio in beautiful Chelsea - close to everything!,92957547303,verified,Mary,Manhattan,Chelsea,40.74111,-73.99594,United States,US,TRUE,moderate,Entire home/apt,2006,"$1,080 ",$216 ,3,2,8/13/2017,0.08,5,1,0,,
67753,38421318,Bright Brooklyn room in shared Apartment,25815961388,verified,Patrick,Brooklyn,Bushwick,40.69868,-73.92469,United States,US,TRUE,moderate,Private room,2019,$967 ,$193 ,2,20,3/14/2020,0.63,2,1,33,,
101478,57047635,RE - Budget Friendly room in the Greenpoint Area!,68388611889,verified,Max,Brooklyn,Greenpoint,40.73714,-73.95333,United States,US,TRUE,flexible,Private room,2007,$791 ,$158 ,2,62,6/24/2019,2.11,4,3,0,,
71941,40734350,Sunny Peaceful Harlem Space,79886276239,verified,Miriam,Manhattan,Harlem,40.82453,-73.93952,United States,US,TRUE,strict,Private room,2022,$355 ,$71 ,2,9,06-04-2019,0.19,3,2,280,,
19545,11796040,Newly Renovate 2 Bedroom Apartment in Central Area,93276365126,verified,(Mary) Haiy,Brooklyn,Bay Ridge,40.63461,-74.02451,United States,US,TRUE,moderate,Entire home/apt,2018,$465 ,$93 ,1,188,6/24/2019,5.81,2,1,295,,
100195,56339035,King/Queen Hotel Room at Wyndham Midtown 45,88136140025,unconfirmed,Chayla,Manhattan,Midtown,40.7524,-73.97153,United States,US,FALSE,strict,Private room,2016,$512 ,$102 ,3,1,12-11-2016,0.03,5,12,365,,
84558,47702719,Luxurious SOHO Apartment,13255878584,verified,Corporate Housing,Manhattan,Greenwich Village,40.72818,-73.99886,United States,US,TRUE,strict,Entire home/apt,2004,$353 ,$71 ,30,10,5/27/2019,0.25,2,91,308,,
39699,22927094,Composer's Atelier in the Heart of Brooklyn,46132327361,verified,Silvio,Brooklyn,Bedford-Stuyvesant,40.69018,-73.93118,United States,US,TRUE,strict,Private room,2007,$622 ,$124 ,1,1,01-03-2019,0.16,5,1,0,Please treat our house as we'd treat yours: with care and respect.,
66851,37923143,Beautiful Apartment for 3 in NYC w Washer/Dryer,25846269889,unconfirmed,Susan,Manhattan,Harlem,40.80826,-73.9416,United States,US,TRUE,strict,Entire home/apt,2014,$181 ,$36 ,31,57,09-07-2020,1.38,2,1,365,,
5745,4174300,"Colorful apt, 25 mins to Manhattan",19235892432,verified,Katerina,Brooklyn,Bedford-Stuyvesant,40.68454,-73.93178,United States,US,FALSE,flexible,Entire home/apt,2003,$239 ,$48 ,30,131,01-07-2019,2.29,4,1,366,希望房间里一切都好好的吧,
28118,16530907,Cozy Room Near Express Train to Manhattan,17447390422,verified,Justin,Brooklyn,Bedford-Stuyvesant,40.69507,-73.93354,United States,US,FALSE,strict,Private room,2019,$757 ,$151 ,3,6,10-08-2018,0.32,4,1,363,Smoking is strictly prohibited. Your pets are welcome but please mind them. NO PARTIES ALLOWED.  EXCESSIVE NOISE IS STRICTLY PROHIBITED.,
